SOURCE|NIVEAU|NUMERO|LIBELLE
NATIONAL|2|20343404|F/L FRAIS EMBALLE
NATIONAL|2|20343405|FRAICHE DECOUPE PDV
NATIONAL|2|20343406|F/L LONGUE CONSERVATION
NATIONAL|2|20343407|NON AFFECTE
NATIONAL|2|20343408|F/L RAYON REFRIGERE
NATIONAL|2|20343410|F/L RAYON REFRIGERE DLC COURTE
NATIONAL|2|20363600|FLEURS COUPEES
NATIONAL|2|20363602|PLANTES D INTERIEUR
NATIONAL|2|20363604|PLANTES D EXTERIEUR
NATIONAL|2|20373700|PANIER ANTIGASPI FRAIS
NATIONAL|2|20383800|SURGELES TRAITEUR
NATIONAL|2|20383802|SURGELES POISSONS
NATIONAL|2|20383804|SURGELES VIANDE
NATIONAL|2|20383806|SURGELES LEGUMES
NATIONAL|2|20383808|SURGELES SUCRE
NATIONAL|2|20383810|VRAC SURGELES PRODUITS BRUTS
NATIONAL|2|20383812|VRAC SURGELES TRAITEUR
NATIONAL|2|20383814|VRAC SURGELES SUCRES
NATIONAL|2|20393900|DESTOCKAGE FRAIS LS
NATIONAL|2|20393902|ANIMATION FRAIS LS
NATIONAL|2|40404000|BISCOTTES ET PAINS GRILLES
NATIONAL|2|40404002|BISCUITERIE
NATIONAL|2|40404004|CAFES / CHICOREE
NATIONAL|2|40404006|PETIT DEJEUNER/CACAO/CHOCOLAT
NATIONAL|2|40404008|CEREALES ET BARRES CEREALIERES
NATIONAL|2|40404010|THE & INFUSIONS
NATIONAL|2|40404012|CHOCOLATS TABLETTE
NATIONAL|2|40404013|DEVANT DE CAISSE (DDC)
NATIONAL|2|40404014|CONFISERIE DE CHOCOLAT
NATIONAL|2|40404015|CONFISERIE DE SUCRE
NATIONAL|2|40404016|CONFISERIES CHOCOLATS NOEL
NATIONAL|2|40404018|CONFISERIE CHOCOLAT PAQUES
NATIONAL|2|40404020|AIDE PATISSERIE DESSERT
NATIONAL|2|40404022|LAITS BOITES ET TUBES
NATIONAL|2|40404024|SUCRES
NATIONAL|2|40404026|CONFIT-COMPOTE FRUITS AU SIROP
NATIONAL|2|40404028|ALIMENTATION POUR BEBE
NATIONAL|2|40404029|VRAC ALIMENTATION INFANTILE
NATIONAL|2|40404030|BIO
NATIONAL|2|40404032|DIETETIQUE
NATIONAL|2|40404034|EPICERIE FINE
NATIONAL|2|40404036|VRAC BIO SPECIALISTE
NATIONAL|2|40404038|VRAC UNIVERS PETIT DEJEUNER
NATIONAL|2|40404040|VRAC UNIVERS BOISSONS CHAUDES
NATIONAL|2|40404042|VRAC UNIVERS CONFISERIE
NATIONAL|2|40404044|VRAC UNIVERS GOUTER
NATIONAL|2|40404046|VRAC UNIVERS DESSERT
NATIONAL|2|40424200|PRODUITS DU MONDE
NATIONAL|2|40424202|FARINE/FECULE/SEMOULE/TAPIOCA
NATIONAL|2|40424204|PATES ALIMENTAIRES
NATIONAL|2|40424206|RIZ PUREE COUSCOUS  LEG SEC
NATIONAL|2|40424208|POTAGES
NATIONAL|2|40424209|SAUCES PATES ET RIZ / COULIS
NATIONAL|2|40424210|CONDIMENTS ET SAUCES FROIDES
NATIONAL|2|40424211|SOLUTION CULINAIRE
NATIONAL|2|40424212|EPICES ET POIVRES
NATIONAL|2|40424214|SELS
NATIONAL|2|40424216|HUILES
NATIONAL|2|40424218|VINAIGRES
NATIONAL|2|40424219|SAUCE SALADE/JUS DE CITRON
NATIONAL|2|40424220|CONSERVES DE LEGUMES
NATIONAL|2|40424222|CONSERVES DE POISSONS
NATIONAL|2|40424224|CONSERVES DE VIANDES
NATIONAL|2|40424226|PLATS CUISINES ET A PREPARER
NATIONAL|2|40424228|PRODUITS SALES APERITIFS
NATIONAL|2|40424230|CHIPS
NATIONAL|2|40424232|NON AFFECTE
NATIONAL|2|40424234|VRAC UNIVERS FECULENTS
NATIONAL|2|40424236|VRAC UNIVERS PSA
NATIONAL|2|40424238|VRAC UNIVERS ASSAISONNEMENTS
NATIONAL|2|40434300|PANIER ANTIGASPI SEC
NATIONAL|2|40444400|ALIMENTS POUR CHIENS
NATIONAL|2|40444402|ALIMENTS POUR CHATS
NATIONAL|2|40444404|ALIMENTS POUR RONGEURS
NATIONAL|2|40444406|ALIMENTS POUR OISEAUX
NATIONAL|2|40444408|ALIMENTS POUR BASSE COUR
NATIONAL|2|40444410|ALIMENTS POUR POISSONS
NATIONAL|2|40444412|LITIERES
NATIONAL|2|40444414|ACCESSOIRES CHIENS
NATIONAL|2|40444416|ACCESSOIRES CHATS
NATIONAL|2|40444418|ACCESSOIRES AUTRES ANIMAUX
NATIONAL|2|40444420|VRAC PRODUITS ANIMAUX
NATIONAL|2|40464600|BOISSONS GAZEUSES ET PLATES
NATIONAL|2|40464601|JUS DE FRUITS
NATIONAL|2|40464602|BIERES ET CIDRES
NATIONAL|2|40464603|SIROPS ET CONCENTRES
NATIONAL|2|40464604|EAUX MINERALES / SOURCES
NATIONAL|2|40464605|BOISSON AROMATISEE
NATIONAL|2|40464606|VINS DE TABLE
NATIONAL|2|40464607|VIN DE PAYS
NATIONAL|2|40464608|VINS SUPERIEURS ET VINS FINS
NATIONAL|2|40464609|FONTAINE A VIN
NATIONAL|2|40464610|MOUSSEUX & PETILLANTS
NATIONAL|2|40464612|CHAMPAGNES
NATIONAL|2|40464614|FOIRE AUX VINS
NATIONAL|2|40464616|APERITIFS ALCOOLS
NATIONAL|2|40464618|APERITIF / VIN DOUX
NATIONAL|2|40464620|APERITIFS SANS ALCOOL
NATIONAL|2|40464622|EAU DE VIE/WHISKY/LIQU/ALC BLC
NATIONAL|2|40464624|VRAC BOISSON NON ALCOLLISEE
NATIONAL|2|40464625|VRAC BIERE ET CIDRE
NATIONAL|2|40464626|VRAC VINS
NATIONAL|2|40464628|VRAC ALCOOLS
NATIONAL|2|40484800|LAVAGE DU LINGE
NATIONAL|2|40484802|ENTRETIEN
NATIONAL|2|40484803|VRAC PRODUIT ENTRETIEN SOLIDE
NATIONAL|2|40484804|EMBALLAGES / EPONGES
NATIONAL|2|40484805|VRAC PRODUIT ENTRETIEN LIQUIDE
NATIONAL|2|40484806|HYGIENE FEMININE
NATIONAL|2|40484807|VRAC HYGIENE INTIME
NATIONAL|2|40484808|HYGIENE DU BEBE
NATIONAL|2|40484809|PAPIERS HYGIENIQUES
NATIONAL|2|40484810|MOUCHOIRS
NATIONAL|2|40484812|HYGIENE CORPORELLE HORS HOMME
NATIONAL|2|40484813|CAPILLAIRE HORS HOMME
NATIONAL|2|40484814|COTON
NATIONAL|2|40484816|BEAUTE
NATIONAL|2|40484817|ACCESS. COIFFANTS / TOILETTES
NATIONAL|2|40484818|MAQUILLAGE
NATIONAL|2|40484820|DENTAIRE
NATIONAL|2|40484822|RASAGE FEMININ ET DEPILATOIRE
NATIONAL|2|40484824|EDT/EDC FEMMES ENFANTS
NATIONAL|2|40484826|HOMME
NATIONAL|2|40484828|PARAPHARMACIE
NATIONAL|2|40484830|VRAC HYGIENE BEAUTE LIQUIDE
NATIONAL|2|40484831|VRAC HYGIENE BEAUTE SOLIDE
NATIONAL|2|40484832|BIO PARFUMERIE
NATIONAL|2|40494900|DESTOCKAGE SEC LS
NATIONAL|2|40494902|ANIMATION SEC LS
NATIONAL|2|50505000|CHAUSSANT BEBE
NATIONAL|2|50505002|CHAUSSANT ENFANT
NATIONAL|2|50505004|CHAUSSANT FEMME
NATIONAL|2|50505006|CHAUSSANT HOMME
NATIONAL|2|50505008|MERCERIE
NATIONAL|2|50505010|SEMELLE & ACC CHAUSSANT
NATIONAL|2|50505012|ACCESSOIRES TEXTILE
NATIONAL|2|50505013|HORLOGERIE BIJOUTERIE
NATIONAL|2|50505014|PETITE PUERICULTURE
NATIONAL|2|50505016|GROSSE PUERICULTURE
NATIONAL|2|50505018|SOUS VETEMENTS
NATIONAL|2|50505020|COLLANTS / MI-BAS
NATIONAL|2|50505022|CHAUSSETTES/COLLANTS
NATIONAL|2|50505024|CONFEC LAYETTE FILLE/MIXTE
NATIONAL|2|50505025|CONFECTION LAYETTE GARCON
NATIONAL|2|50505026|CONFECTION ENF FILLE/MIXTE
NATIONAL|2|50505027|CONFECTION JUNIOR FILLE/MIXTE
NATIONAL|2|50505028|CONFECTION ENFANT GARCON
NATIONAL|2|50505029|CONFECTION JUNIOR GARCON
NATIONAL|2|50505030|CONFECTION FEMME
NATIONAL|2|50505031|CONFECTION FEMME GRANDE TAILLE
NATIONAL|2|50505032|CONFECTION HOMME
NATIONAL|2|50505033|CONFECTION HOMME GRANDE TAILLE
NATIONAL|2|50505034|LINGE DE LIT
NATIONAL|2|50505036|LINGE D'OFFICE
NATIONAL|2|50505038|LINGE EPONGE
NATIONAL|2|50525200|ACCESSOIRES ADULTE
NATIONAL|2|50525202|ACCESSOIRES ENFANT
NATIONAL|2|50525204|BAIN
NATIONAL|2|50525206|CHAUSSETTES ENFANT
NATIONAL|2|50525208|CHAUSSETTES ADULTE
NATIONAL|2|50525210|DENIM ADULTE
NATIONAL|2|50525212|GROSSE CONFECTION ADULTE
NATIONAL|2|50525214|BEBE
NATIONAL|2|50525216|LINGE DE NUIT
NATIONAL|2|50525218|VETEMENTS ENFANT
NATIONAL|2|50525220|VETEMENTS FEMME
NATIONAL|2|50525222|VETEMENTS HOMME
NATIONAL|2|50525224|GROSSE CONFECTION ENFANT
NATIONAL|2|50545400|CORNER CLAIRE S
NATIONAL|2|50545402|CORNER RAND
NATIONAL|2|50555500|DESTOCKAGE TEXTILE
NATIONAL|2|50585800|ANIMATION TEXTILE
NATIONAL|2|60606000|AMEUBLEMENT ET MOBILIER
NATIONAL|2|60606001|CADRES ET ALBUMS/ACCESS. DECO
NATIONAL|2|60606002|ECLAIRAGE
NATIONAL|2|60606003|AMPOULES
NATIONAL|2|60606004|CARBURANT ET COMBUSTIBLE
NATIONAL|2|60606005|PILES
NATIONAL|2|60606006|BRICOLAGE
NATIONAL|2|60606007|VRAC PILES
NATIONAL|2|60606008|DROGUERIE
NATIONAL|2|60606009|VRAC AMPOULES
NATIONAL|2|60606010|PEINTURES ET ACCESSOIRES
NATIONAL|2|60606011|VRAC CARBURANT ET COMBUSTIBLE
NATIONAL|2|60606012|JARDINAGE
NATIONAL|2|60606014|NON AFFECTE
NATIONAL|2|60606016|PLEIN AIR - CAMPING
NATIONAL|2|60606018|JOUETS PLEIN AIR
NATIONAL|2|60606020|VAISSELLE-VERRERIE-COUVERTS
NATIONAL|2|60606021|CONSERVERIE
NATIONAL|2|60606022|VAISSELLE A JETER
NATIONAL|2|60606023|VRAC CONTENANTS
NATIONAL|2|60606024|FILTRES A CAFE/ACCESSOIRES
NATIONAL|2|60606026|ACCESSOIRE / GADGET DE CUISINE
NATIONAL|2|60606027|TOILE CIREE
NATIONAL|2|60606028|BOUGIE ENCENS BRIQUETS
NATIONAL|2|60606029|VRAC BOUGIES ENCENS BRIQUETS
NATIONAL|2|60606030|CUISSON
NATIONAL|2|60606031|PATISSERIE
NATIONAL|2|60606032|NON AFFECTE
NATIONAL|2|60606034|BROSSERIE/GANTS/TAPIS
NATIONAL|2|60606036|SECHANT / REPASSANT
NATIONAL|2|60606038|PLASTIQUE
NATIONAL|2|60606040|NON AFFECTE
NATIONAL|2|60606042|JOUETS
NATIONAL|2|60606044|DECORATION DE NOEL
NATIONAL|2|60606046|MAROQUINERIE / BAGAGE
NATIONAL|2|60606048|SPORTS/EQUIPEMENT SPORTIF
NATIONAL|2|60606050|EQUIPEMENT ACC AUTO
NATIONAL|2|60606052|LUBRIFIANTS
NATIONAL|2|60606054|CYCLOMOTEUR / MOTO
NATIONAL|2|60606056|NON AFFECTE
NATIONAL|2|60606058|NON AFFECTE
NATIONAL|2|60606060|NON AFFECTE
NATIONAL|2|60606061|NON AFFECTE
NATIONAL|2|60606062|NON AFFECTE
NATIONAL|2|60606064|NON AFFECTE
NATIONAL|2|60606066|ECRIRE COLLER CORRIGER
NATIONAL|2|60606068|PAPIERS
NATIONAL|2|60606070|CLASSEMENT
NATIONAL|2|60606072|CALCULATRICES
NATIONAL|2|60606074|LOISIRS CREATIFS
NATIONAL|2|60606076|CONDITIONNEMENT CADEAUX
NATIONAL|2|60606078|CARTERIES
NATIONAL|2|60626200|PETIT DEJEUNER
NATIONAL|2|60626202|PREPARATION CULINAIRE
NATIONAL|2|60626204|CUISSON PEM
NATIONAL|2|60626205|SACS ET ACC PEM
NATIONAL|2|60626206|ENTRETIEN DU LINGE
NATIONAL|2|60626207|EAU ET BOISSON
NATIONAL|2|60626208|ENTRETIEN DES SOLS
NATIONAL|2|60626209|TRAITEMENT DE L AIR
NATIONAL|2|60626210|BEAUTE / BIEN ETRE
NATIONAL|2|60626211|FROID
NATIONAL|2|60626212|LAVAGE
NATIONAL|2|60626213|CUISSON
NATIONAL|2|60626214|SON
NATIONAL|2|60626216|IMAGE
NATIONAL|2|60626217|ACC IMAGE & SON
NATIONAL|2|60626218|RECEPTION/TRANSMISSION
NATIONAL|2|60626219|ALARMES
NATIONAL|2|60626220|STOCKAGES INFORMATIQUES
NATIONAL|2|60626222|NOMADES
NATIONAL|2|60626224|ORDINATEURS
NATIONAL|2|60626226|IMPRESSION / SCANNER
NATIONAL|2|60626228|ACCESSOIRES INFORMATIQUES
NATIONAL|2|60626230|CONSOMMABLES INFORMATIQUES
NATIONAL|2|60626232|TELEPHONIE
NATIONAL|2|60626234|APPAREILS & ACCESSOIRES PHOTO
NATIONAL|2|60626236|FILMS ET PAP
NATIONAL|2|60626238|DEPLACEMENTS
NATIONAL|2|60626240|MAIN D'OEUVRE
NATIONAL|2|60626242|PIECES
NATIONAL|2|60626244|EXTENTION GARANTIE
NATIONAL|2|60646400|LITTERATURE
NATIONAL|2|60646402|DICO & PARA SCOLAIRE
NATIONAL|2|60646404|BANDES DESSINEES
NATIONAL|2|60646406|LIVRES DE POCHE
NATIONAL|2|60646408|TOURISME
NATIONAL|2|60646410|VIE PRATIQUE
NATIONAL|2|60646412|ACTIVIITE COLORIAGE
NATIONAL|2|60646413|ALBUMS JEUNESSE
NATIONAL|2|60646414|CD 2 TITRES
NATIONAL|2|60646416|CD
NATIONAL|2|60646418|DVD
NATIONAL|2|60646420|DVD PORNOGRAPHIQUE & VIOLENT
NATIONAL|2|60646422|CONSOLES
NATIONAL|2|60646424|JEUX CONSOLES
NATIONAL|2|60646426|CD ROM
NATIONAL|2|60646428|ACCESSOIRES DE JEUX
NATIONAL|2|60646430|JOURNAUX PRESSE EXO
NATIONAL|2|60656500|DESTOCKAGE BAZAR
NATIONAL|2|60666600|LIVRAISON
NATIONAL|2|60666602|PREPARATION DE COMMANDE
NATIONAL|2|60666604|SACHERIE A VENDRE
NATIONAL|2|60666606|LOCATION DE MATERIEL
NATIONAL|2|60666607|CARTE KDO PRO NAT ET LOCAL
NATIONAL|2|60666608|CARTE KDO CLIENT
NATIONAL|2|60666609|BILLETERIE
NATIONAL|2|60666610|CARTES CADEAUX
NATIONAL|2|60666612|COFFRETS CADEAUX
NATIONAL|2|60666614|ABONNEMENTS
NATIONAL|2|60666616|PRE TIMBRE
NATIONAL|2|60666618|TIMBRE POSTE
NATIONAL|2|60666619|LA POSTE RELAIS
NATIONAL|2|60666620|DEVELOPPEMENT PHOTO
NATIONAL|2|60666622|RECHARGES TELEPHONIQUES
NATIONAL|2|60666624|CARTES TELEPHONIQUES
NATIONAL|2|60666626|FID PLAN DE RECRUTEMENT LOCAL
NATIONAL|2|60666628|BORNE DE RECHARGE ELECTRIQUE
NATIONAL|2|60686800|ANIMATION BAZAR
NATIONAL|2|70700191|DECONSIGNES
NATIONAL|2|70700192|CONSIGNES
NATIONAL|2|70707000|CEM
NATIONAL|2|80808000|NON AFFECTE
NATIONAL|2|80808002|NON AFFECTE
NATIONAL|2|80808003|NON AFFECTE
NATIONAL|2|80808004|GPLC
NATIONAL|2|80808006|GASOIL
NATIONAL|2|80808008|NON AFFECTE
NATIONAL|2|80808009|GOPR GASOIL PRENIUM
NATIONAL|2|80808010|SANS PLOMB 95
NATIONAL|2|80808011|SANS PLOMB 95 E-10
NATIONAL|2|80808012|SANS PLOMB 98
NATIONAL|2|80808013|SUPER ETHANOL 85
NATIONAL|2|80808014|COMBUSTIBLE DE CHAUFFAGE
NATIONAL|2|80808015|FIOUL DOMESTIQUE
NATIONAL|2|80808016|ADBLUE POMPE
NATIONAL|2|80808017|GASOIL NON ROUTIER
NATIONAL|2|80808018|LAVAGE ROULEAUX
NATIONAL|2|80808020|LAVAGE HAUTE PRESSION
NATIONAL|2|80808021|LAVAGE JETON
NATIONAL|2|80808022|ASPIRATEUR
NATIONAL|2|80808023|VENTE BOUTIQUE TAUX REDUIT
NATIONAL|2|80808024|VTE BOUTIQUE TX INTERMEDIAIRE
NATIONAL|2|80808025|VENTE BOUTIQUE TAUX NORMAL
NATIONAL|2|80808026|ADDITIFS
NATIONAL|2|80808028|ADBLUE BIDONS
NATIONAL|2|80808030|BORNE DE RECHARGE ELECTRIQUE
NATIONAL|2|80808050|DIVERS GAZ
NATIONAL|2|80808052|BOUTEILLE 5-6 KG PROPANE
NATIONAL|2|80808054|BOUTEILLE 5-6 KG BUTANE
NATIONAL|2|80808056|BOUTEILLE 9-10 KG PROPANE
NATIONAL|2|80808058|BOUTEILLE 9-10 KG BUTANE
NATIONAL|2|80808060|BOUTEILLE 13 KG PROPANE
NATIONAL|2|80808062|BOUTEILLE 13 KG BUTANE
NATIONAL|2|80808064|BOUTEILLE 35 KG PROPANE
NATIONAL|2|80808066|NON AFFECTE
NATIONAL|2|80828200|PRESSE
NATIONAL|2|80828202|AUDIO
NATIONAL|2|80828204|VIDEO
NATIONAL|2|80828206|TIMBRE POSTE
NATIONAL|2|80828208|TABAC
NATIONAL|2|80828210|PRESSE CARTE TELEPHONIQUE
NATIONAL|2|80828212|PRESSE CARTERIE
NATIONAL|2|80828214|PRESSE - PAPETERIE
NATIONAL|2|80828216|PRESSE - LIVRE
NATIONAL|2|80828218|GRATTAGE JEUX
NATIONAL|2|80828220|REMBOURSSEMENT GRATTAGE JEUX
NATIONAL|2|80828222|LOTO
NATIONAL|2|80828224|REMBOURSSEMENT LOTO
NATIONAL|2|80828226|PMU
NATIONAL|2|80828228|REMBOURSEMENT PMU
NATIONAL|2|80848400|KIOSQUE D OR
NATIONAL|2|80868600|SOLIDE A EMPORTER
NATIONAL|2|80868602|SOLIDE / PLACE
NATIONAL|2|80868604|LIQUIDE A EMPORTER
NATIONAL|2|80868606|LIQUIDE / PLACE
NATIONAL|2|80888800|SERVICE CLEFS
NATIONAL|2|80888801|SERVICE CORDONNERIE
NATIONAL|2|80888802|SERVICE CARTE DE VISITE
NATIONAL|2|80888804|SERVICE DEVELT PHOTO
NATIONAL|2|80888806|SERVICE PHOTO IDENTITE
NATIONAL|2|80888808|SERVICE PHOTOCOPIE
NATIONAL|2|80888810|SERVICE LOC VIDEO
NATIONAL|2|80888812|SERVICE PRESSING
NATIONAL|2|80888814|SERVICE LAVERIE AUTO
NATIONAL|2|80888816|SERVICE CARTE DE TRANSPORT
NATIONAL|2|80888818|SERVICE MANEGE
NATIONAL|2|80888820|SERV DISTRIBUTEUR BOISSON
NATIONAL|2|80888822|SERV DISTRIBUTEUR SNACK
NATIONAL|2|80909000|RDM BOUCHERIE LS
NATIONAL|2|80909002|RDM CHARCUTERIE LS
NATIONAL|2|80909004|RDM CHARCUTERIE TRAD
NATIONAL|2|80909006|RDM VOLAILLE LS
NATIONAL|2|80909008|RDM CREMERIE LS
NATIONAL|2|80909010|RDM FROMAGE COUPE
NATIONAL|2|80909012|RDM PATISSERIE LS
NATIONAL|2|80909013|RDM BOULANGERIE LS
NATIONAL|2|80909014|RDM FRUITS ET LEGUMES
NATIONAL|2|80909015|RDM PLANTES
NATIONAL|2|80909016|RDM SAURISSERIE
NATIONAL|2|80909018|RDM SURGELE
NATIONAL|2|80909020|RDM EPICERIE
NATIONAL|2|80909022|RDM B.N.A.
