CODE|DESCRIPTION|FLAGS|PRODUCT_EANS|SUBFAMILY_CODES
BISCUITS_CHOCOLATS|Biscuits et chocolats||3000000011898,3000000011904,3000000011911,3000000011928,3000000011935,3000000011942,3000000011959,3000000011966,3000000011973,3000000011980|
JUS_SIROPS|Jus et sirops|RESTAURANT_VOUCHER_ELIGIBLE|3000000011997,3000000012000,3000000012017,3000000012024,3000000012031,3000000012048,3000000012055,3000000012062,3000000012079,3000000012086|
BIERES_CIDRES|Bières et cidres||3000000012093,3000000012109,3000000012116,3000000012123,3000000012130,3000000012147,3000000012154,3000000012161|
VINS_SPIRITUEUX|Vins et spiritueux||3000000012178,3000000012185,3000000012192,3000000012208,3000000012215,3000000012222,3000000012239,3000000012246,3000000012253,3000000012260|
SURGELES_SALES|Surgelés salés|RESTAURANT_VOUCHER_ELIGIBLE|3000000012277,3000000012284,3000000012291,3000000012307,3000000012314,3000000012321,3000000012338,3000000012345,3000000012352,3000000012369|
SURGELES_SUCRES|Surgelés sucrés||3000000012376,3000000012383,3000000012390,3000000012406,3000000012413,3000000012420,3000000012437,3000000012444|
HYGIENE|Hygiène et beauté||3000000012451,3000000012468,3000000012475,3000000012482,3000000012499,3000000012505,3000000012512,3000000012529,3000000012536,3000000012543,3000000012550,3000000012567|
ENTRETIEN|Entretien de la maison||3000000012574,3000000012581,3000000012598,3000000012604,3000000012611,3000000012628,3000000012635,3000000012642,3000000012659,3000000012666|
BEBE_ANIMAUX|Bébé et animaux||3000000012673,3000000012680,3000000012697,3000000012703,3000000012710,3000000012727,3000000012734,3000000012741|
FRUITS|Fruits|FRUITS_VEGETABLES||AGRUMES,FRUITS_ROUGES,FRUITS_EXOTIQUES,VERGER
LEGUMES|Legumes|FRUITS_VEGETABLES||SALADES,LEGUMES_ANCIENS,LEGUMES_RATATOUILLE
CREMERIE|Rayon Crèmerie|||LAITS_OEUFS,YAOURTS_DESSERTS,FROMAGES
BOUCHERIE|Rayon Boucherie|||VOLAILLE,BOEUF_PORC,CHARCUTERIE
MAREE|Rayon Marée|||POISSONNERIE
BOULANGERIE|Rayon Boulangerie|||PAINS
EPICERIE_SALEE|Rayon Épicerie Salée|||PATES_RIZ,CONSERVES,SAUCES_CONDIMENTS
EPICERIE_SUCREE|Rayon Épicerie Sucrée|||PETIT_DEJEUNER,BISCUITS_CHOCOLATS
BOISSONS|Boissons|||JUS_SIROPS,BIERES_CIDRES,VINS_SPIRITUEUX
SURGELES|Rayon Surgelés|||SURGELES_SALES,SURGELES_SUCRES
HYGIENE_MAISON|Rayon Hygiène & Maison|||HYGIENE,ENTRETIEN,BEBE_ANIMAUX
