CODE|DESCRIPTION|FLAGS|PRODUCT_EANS|SUBFAMILY_CODES
5050|TEXTILE|||50505008,50505006,50505024,50505030,50505026,50505004,50505002,50505018,50505022,50505012,50505014,50505016,50505032,50505029,50505034,50505036,50505020,50505013,50505000,50505038,50505028,50505010
5055|DESTOCKAGE TEXTILE|||50555500
6060|BAZAR LEGER|||60606012,60606022,60606042,60606020,60606074,60606002,60606005,60606026,60606066,60606048,60606016,60606054,60606076,60606078,60606010,60606004,60606030,60606021,60606006,60606068,60606070,60606046,60606036,60606000,60606014,60606008,60606034,60606028,60606038,60606031,60606050,60606003,60606024,60606018,60606001,60606052,60606044,60606040,60606072,60606029
6062|BAZAR TECHNIQUE|||60626200,60626214,60626228,60626230,60626232,60626226,60626224,60626204,60626202,60626220,60626210,60626207,60626205,60626206,60626208,60626216,60626218,60626217,60626211,60626212,60626213,60626219,60626209
6064|PRODUITS CULTURELS|||60646424,60646428,60646422,60646400,60646410,60646408,60646412,60646406,60646413,60646430,60646402,60646404
6065|DESTOCKAGE BAZAR|||60656500
6066|PRESTATION DE SERVICE|||60666600,60666612,60666626,60666607,60666608,60666604,60666610
6068|ANIMATION BAZAR|||60686800
7070|NON COMMERCIALE|||70707000,70700191
10020200|VIANDE BOVINE TRAD||0000000000005,0206002000000,0206025000000,2238977000000,2610001000000,2610002000000,2610003000000,2610004000000,2610005000000,2610006000000,2610007000000,2610008000000,2610009000000,2610010000000,2610011000000,2610012000000,2610013000000,2610014000000,2610015000000,2610016000000,2610017000000,2610019000000,2610020000000,2610021000000,2610022000000,2610023000000,2610024000000,2610025000000,2610026000000,2610027000000,2610028000000,2610029000000,2610030000000,2610031000000,2610032000000,2610033000000,2610034000000,2610035000000,2610036000000,2610037000000,2610038000000,2610039000000,2610041000000,2610042000000,2610043000000,2610044000000,2610045000000,2610046000000,2610047000000,2610048000000,2610049000000,2610050000000,2610051000000,2610052000000,2610053000000,2610054000000,2610055000000,2610056000000,2610057000000,2610058000000,2610059000000,2610060000000,2610063000000,2610065000000,2610066000000,2610068000000,2610069000000,2610101000000,2610102000000,2610103000000,2610104000000,2610105000000,2610106000000,2610107000000,2610108000000,2610109000000,2610110000000,2610111000000,2610112000000,2610113000000,2610114000000,2610115000000,2610116000000,2610117000000,2610119000000,2610120000000,2610121000000,2610122000000,2610123000000,2610124000000,2610125000000,2610126000000,2610127000000,2610128000000,2610129000000,2610130000000,2610131000000,2610132000000,2610133000000,2610134000000,2610135000000,2610136000000,2610137000000,2610138000000,2610139000000,2610141000000,2610142000000,2610143000000,2610144000000,2610145000000,2610146000000,2610147000000,2610148000000,2610149000000,2610150000000,2610151000000,2610152000000,2610153000000,2610154000000,2610155000000,2610156000000,2610159000000,2610160000000,2610163000000,2610165000000,2610166000000,2610168000000,2610169000000,2611000000000,2611001000000,2611002000000,2611003000000,2611004000000,2611005000000,2611006000000,2611007000000,2611008000000,2611009000000,2611010000000,2611011000000,2611012000000,2611013000000,2611014000000,2611015000000,2611016000000,2611017000000,2611018000000,2611019000000,2611020000000,2611021000000,2611022000000,2611023000000,2611024000000,3302520000759|100202000001
10020202|VEAU TR||0210072000000,0239006000000,0239057000000,0248191000000,0280081000000,0281856000000,0290147000000,2218846000000,2481850000000,2481851000000,2610200000000,2610201000000,2610202000000,2610203000000,2610204000000,2610205000000,2610206000000,2610207000000,2610208000000,2610209000000,2610211000000,2610212000000,2610217000000,2610218000000,2610219000000,2610220000000,2610221000000,2610222000000,2610223000000,2610224000000,2610225000000,2610226000000,2610229000000,2610230000000,2611101000000,2611102000000,2611103000000,2611104000000,2611105000000,2611106000000,2611107000000,2611108000000,2611109000000|100202020001
10020204|VIANDE PORCINE TRAD||0206027000000,0210233000000,0211092000000,0212231000000,2610400000000,2610401000000,2610402000000,2610403000000,2610404000000,2610405000000,2610406000000,2610407000000,2610408000000,2610409000000,2610410000000,2610411000000,2610412000000,2610413000000,2610414000000,2610415000000,2610416000000,2610417000000,2610418000000,2610419000000,2610420000000,2610421000000,2610422000000,2610423000000,2610424000000,2610425000000,2610426000000,2610427000000,2610428000000,2610429000000,2610430000000,2610431000000,2610432000000,2610433000000,2610434000000,2610435000000,2610436000000,2610437000000,2610438000000,2610439000000,2610440000000,2610441000000,2610442000000,2610443000000,2610444000000,2610445000000,2610446000000,2610447000000,2610449000000,2610450000000,2610451000000,2610452000000,2610453000000,2610454000000,2611300000000,2611301000000,2611302000000,2611303000000,2611304000000,2611305000000,2611306000000,2611307000000,2611308000000,2611309000000,2611310000000,2611311000000,2611312000000,2611313000000,2611314000000,2611315000000,2611316000000,2611317000000,2611318000000,2801372000000|100202040001
10020206|VIANDE OVINE TRAD||2610302000000,2610303000000,2610306000000,2610307000000,2610308000000,2610309000000,2610310000000,2610311000000,2610312000000,2610313000000,2610314000000,2610315000000,2610316000000,2610317000000,2610318000000,2610319000000,2610320000000,2610321000000,2610322000000,2610323000000,2610324000000,2610325000000,2610350000000,2610351000000,2610352000000,2610353000000,2610354000000,2610355000000,2610356000000,2610357000000,2610358000000,2610359000000,2610360000000,2610361000000,2610362000000,2610363000000,2610364000000,2610365000000,2610366000000,2610367000000,2610368000000,2610550000000,2610551000000,2610552000000,2610553000000,2610554000000,2610555000000,2610556000000,2610557000000,2610558000000,2610559000000,2610560000000,2610561000000,2610562000000,2610563000000,2610564000000,2610565000000,2610566000000,2610567000000,2610568000000,2610569000000,2610570000000,2610571000000,2610572000000,2611201000000,2611202000000,2611203000000,2611204000000,2611205000000,2611206000000,2611207000000,2611208000000,2611209000000,2611210000000|100202060001
10020208|VIANDE CHEVALINE TRAD||2610500000000,2610501000000,2610502000000,2610503000000,2610504000000,2610505000000,2610506000000,2610507000000,2610508000000,2610509000000,2610510000000,2610511000000,2610512000000,2610513000000,2610514000000,2610515000000,2610516000000,2610517000000|100202080001
10020210|TRIPERIE / ABATS TRAD||2610601000000,2610602000000,2610603000000,2610604000000,2610605000000,2610606000000,2610607000000,2610608000000,2610609000000,2610610000000,2610611000000,2610612000000,2610613000000,2610614000000,2610615000000,2610616000000,2610617000000,2610618000000,2610619000000,2610620000000,2610621000000,2610622000000,2610623000000,2610624000000,2610625000000,2610626000000,2610627000000,2610628000000,2610629000000,2610630000000,2610631000000,2610632000000,2610633000000,2610634000000,2610635000000,2610636000000,2610637000000,2610638000000,2610639000000,2610640000000,2610641000000,2610642000000,2610643000000,2610644000000,2610645000000,2610703000000,2610704000000,2610705000000,2611600000000,2611601000000,2611602000000,2611603000000,2611604000000|100202100001
10020212|PRODUITS ELABORES TR||2610700000000,2610701000000|100202120001
10020213|GIBIER BOUCHERIE TR|||100202130001
10020214|BOUCHERIE TR/FE PDV|||100202140001
10020220|VIANDE BOVINE FE PDV||0000000000045,2810001000000,2810002000000,2810004000000,2810005000000,2810006000000,2810007000000,2810008000000,2810009000000,2810010000000,2810011000000,2810012000000,2810013000000,2810014000000,2810015000000,2810016000000,2810017000000,2810019000000,2810020000000,2810021000000,2810022000000,2810023000000,2810024000000,2810025000000,2810026000000,2810027000000,2810028000000,2810029000000,2810030000000,2810031000000,2810032000000,2810033000000,2810034000000,2810035000000,2810036000000,2810037000000,2810038000000,2810039000000,2810041000000,2810042000000,2810043000000,2810044000000,2810045000000,2810046000000,2810047000000,2810048000000,2810049000000,2810050000000,2810051000000,2810052000000,2810053000000,2810054000000,2810055000000,2810056000000,2810057000000,2810058000000,2810059000000,2810060000000,2810063000000,2810065000000,2810066000000,2810068000000,2810069000000,2810101000000,2810102000000,2810103000000,2810104000000,2810105000000,2810106000000,2810107000000,2810108000000,2810109000000,2810110000000,2810111000000,2810112000000,2810113000000,2810114000000,2810115000000,2810116000000,2810117000000,2810119000000,2810120000000,2810121000000,2810122000000,2810123000000,2810124000000,2810125000000,2810126000000,2810127000000,2810128000000,2810129000000,2810130000000,2810131000000,2810132000000,2810133000000,2810134000000,2810135000000,2810136000000,2810137000000,2810138000000,2810139000000,2810141000000,2810142000000,2810143000000,2810144000000,2810145000000,2810146000000,2810147000000,2810148000000,2810149000000,2810150000000,2810151000000,2810152000000,2810153000000,2810154000000,2810155000000,2810156000000,2810159000000,2810160000000,2810163000000,2810165000000,2810166000000,2810168000000,2810169000000,2811000000000,2811001000000,2811002000000,2811003000000,2811004000000,2811005000000,2811006000000,2811007000000,2811008000000,2811009000000,2811010000000,2811011000000,2811012000000,2811013000000,2811014000000,2811015000000,2811016000000,2811017000000,2811018000000,2811019000000,2811020000000,2811021000000,2811022000000,2811023000000,2811024000000,2820001000000,2820002000000,2820004000000,2820006000000,2820007000000,2820008000000,2820009000000,2820010000000,2820011000000,2820012000000,2820013000000,2820014000000,2820015000000,2820016000000,2820017000000,2820019000000,2820020000000,2820021000000,2820022000000,2820023000000,2820024000000,2820025000000,2820026000000,2820027000000,2820028000000,2820029000000,2820030000000,2820031000000,2820032000000,2820033000000,2820034000000,2820035000000,2820036000000,2820039000000,2820041000000,2820042000000,2820043000000,2820044000000,2820045000000,2820046000000,2820047000000,2820052000000,2820056000000,2820059000000,2820063000000,2820069000000,2820101000000,2820102000000,2820103000000,2820108000000,2820109000000,2820110000000,2820111000000,2820112000000,2820113000000,2820114000000,2820115000000,2820117000000,2820122000000,2820123000000,2820124000000,2820125000000,2820126000000,2820127000000,2820128000000,2820129000000,2820130000000,2820131000000,2820132000000,2820133000000,2820134000000,2820135000000,2820136000000,2820137000000,2820139000000,2820147000000,2820148000000,2820152000000,2820153000000,2820154000000,2820156000000,2820159000000,2820160000000,2820163000000,2820165000000,2820166000000,2821000000000,2821001000000,2821002000000,2821003000000,2821004000000,2821005000000,2821006000000,2821007000000,2821008000000,2821009000000,2821010000000,2821011000000,2821012000000,2821013000000,2821014000000,2821015000000,2821016000000,2821017000000,2821018000000,2821019000000,2821020000000,2821021000000,2821022000000,2821023000000,2821024000000,2830006000000,2830007000000,2830008000000,2830009000000,2830010000000,2830011000000,2830012000000,2830013000000,2830014000000,2830015000000,2830016000000,2830017000000,2830019000000,2830020000000,2830021000000,2830022000000,2830023000000,2830024000000,2830025000000,2830026000000,2830027000000,2830028000000,2830029000000,2830030000000,2830031000000,2830032000000,2830033000000,2830034000000,2830035000000,2830036000000,2830037000000,2830038000000,2830039000000,2830041000000,2830042000000,2830043000000,2830044000000,2830045000000,2830046000000,2830047000000,2830048000000,2830049000000,2830050000000,2830051000000,2830052000000,2830053000000,2830054000000,2830055000000,2830057000000,2830058000000,2830059000000,2830063000000,2830065000000,2830106000000,2830107000000,2830108000000,2830109000000,2830110000000,2830111000000,2830112000000,2830113000000,2830114000000,2830117000000,2830119000000,2830120000000,2830122000000,2830123000000,2830124000000,2830125000000,2830126000000,2830127000000,2830128000000,2830129000000,2830130000000,2830131000000,2830132000000,2830133000000,2830134000000,2830135000000,2830136000000,2830137000000,2830138000000,2830139000000,2830141000000,2830142000000,2830143000000,2830144000000,2830145000000,2830146000000,2830166000000,2830168000000,2830169000000,2831000000000,2831001000000,2831002000000,2831003000000,2831004000000,2831005000000,2831006000000,2831007000000,2831008000000,2831009000000,2831010000000,2831011000000,2831012000000,2831013000000,2831014000000,2831015000000,2831021000000,2831022000000,2831023000000,2831024000000,2840001000000,2840002000000,2840004000000,2840005000000,2840006000000,2840007000000,2840008000000,2840009000000,2840010000000,2840011000000,2840012000000,2840013000000,2840014000000,2840015000000,2840016000000,2840017000000,2840019000000,2840020000000,2840021000000,2840022000000,2840023000000,2840024000000,2840025000000,2840026000000,2840027000000,2840028000000,2840029000000,2840030000000,2840031000000,2840032000000,2840033000000,2840034000000,2840035000000,2840036000000,2840037000000,2840038000000,2840039000000,2840041000000,2840042000000,2840043000000,2840044000000,2840045000000,2840046000000,2840047000000,2840048000000,2840049000000,2840050000000,2840051000000,2840052000000,2840053000000,2840054000000,2840055000000,2840056000000,2840057000000,2840058000000,2840059000000,2840060000000,2840063000000,2840065000000,2840066000000,2840068000000,2840069000000,2840101000000,2840102000000,2840103000000,2840104000000,2840105000000,2840106000000,2840107000000,2840108000000,2840109000000,2840110000000,2840111000000,2840112000000,2840113000000,2840114000000,2840115000000,2840116000000,2840117000000,2840119000000,2840120000000,2840121000000,2840122000000,2840123000000,2840124000000,2840126000000,2840127000000,2840128000000,2840129000000,2840130000000,2840131000000,2840132000000,2840133000000,2840134000000,2840135000000,2840136000000,2840137000000,2840138000000,2840139000000,2840141000000,2840142000000,2840143000000,2840144000000,2840145000000,2840146000000,2840147000000,2840148000000,2840149000000,2840150000000,2840151000000,2840152000000,2840154000000,2840155000000,2840156000000,2840159000000,2840160000000,2840163000000,2840165000000,2840166000000,2840168000000,2840169000000,2841000000000,2841001000000,2841002000000,2841003000000,2841004000000,2841006000000,2841007000000,2841008000000,2841009000000,2841010000000,2841011000000,2841012000000,2841013000000,2841014000000,2841015000000,2841016000000,2841017000000,2841018000000,2841019000000,2841020000000,2841021000000,2841022000000,2841023000000,2841024000000,2860001000000,2860002000000,2860004000000,2860005000000,2860006000000,2860007000000,2860008000000,2860009000000,2860010000000,2860011000000,2860012000000,2860013000000,2860014000000,2860015000000,2860016000000,2860017000000,2860019000000,2860020000000,2860021000000,2860022000000,2860023000000,2860024000000,2860025000000,2860026000000,2860027000000,2860028000000,2860029000000,2860030000000,2860031000000,2860032000000,2860033000000,2860034000000,2860035000000,2860036000000,2860037000000,2860038000000,2860039000000,2860041000000,2860042000000,2860043000000,2860044000000,2860045000000,2860046000000,2860047000000,2860048000000,2860049000000,2860050000000,2860051000000,2860052000000,2860053000000,2860054000000,2860055000000,2860056000000,2860057000000,2860058000000,2860059000000,2860060000000,2860063000000,2860065000000,2860066000000,2860068000000,2860069000000,2860101000000,2860102000000,2860103000000,2860104000000,2860105000000,2860106000000,2860107000000,2860108000000,2860109000000,2860110000000,2860111000000,2860112000000,2860113000000,2860114000000,2860115000000,2860116000000,2860117000000,2860119000000,2860120000000,2860121000000,2860122000000,2860123000000,2860124000000,2860125000000,2860126000000,2860127000000,2860128000000,2860129000000,2860130000000,2860131000000,2860132000000,2860133000000,2860134000000,2860135000000,2860136000000,2860137000000,2860138000000,2860139000000,2860141000000,2860142000000,2860143000000,2860144000000,2860145000000,2860146000000,2860147000000,2860148000000,2860149000000,2860150000000,2860151000000,2860152000000,2860153000000,2860154000000,2860155000000,2860156000000,2860159000000,2860160000000,2860163000000,2860165000000,2860166000000,2860168000000,2860169000000,2861000000000,2861001000000,2861002000000,2861003000000,2861004000000,2861005000000,2861006000000,2861007000000,2861008000000,2861009000000,2861010000000,2861011000000,2861012000000,2861013000000,2861014000000,2861015000000,2861016000000,2861017000000,2861018000000,2861019000000,2861020000000,2861021000000,2861022000000,2861023000000,2861024000000,2870001000000,2870002000000,2870004000000,2870005000000,2870006000000,2870007000000,2870008000000,2870009000000,2870010000000,2870011000000,2870012000000,2870013000000,2870014000000,2870015000000,2870016000000,2870017000000,2870019000000,2870020000000,2870021000000,2870022000000,2870023000000,2870024000000,2870025000000,2870026000000,2870027000000,2870028000000,2870029000000,2870030000000,2870031000000,2870032000000,2870033000000,2870034000000,2870035000000,2870036000000,2870037000000,2870038000000,2870039000000,2870041000000,2870042000000,2870043000000,2870044000000,2870045000000,2870046000000,2870047000000,2870048000000,2870049000000,2870050000000,2870051000000,2870052000000,2870053000000,2870054000000,2870055000000,2870056000000,2870057000000,2870058000000,2870059000000,2870060000000,2870063000000,2870065000000,2870066000000,2870068000000,2870069000000,2870101000000,2870102000000,2870103000000,2870104000000,2870105000000,2870106000000,2870107000000,2870108000000,2870109000000,2870110000000,2870111000000,2870112000000,2870113000000,2870114000000,2870115000000,2870116000000,2870117000000,2870119000000,2870120000000,2870121000000,2870122000000,2870123000000,2870124000000,2870125000000,2870126000000,2870127000000,2870128000000,2870129000000,2870130000000,2870131000000,2870132000000,2870133000000,2870134000000,2870135000000,2870136000000,2870137000000,2870138000000,2870139000000,2870141000000,2870142000000,2870143000000,2870144000000,2870145000000,2870146000000,2870147000000,2870148000000,2870149000000,2870150000000,2870151000000,2870152000000,2870153000000,2870154000000,2870155000000,2870156000000,2870159000000,2870160000000,2870163000000,2870165000000,2870166000000,2870168000000,2870169000000,2871000000000,2871001000000,2871002000000,2871003000000,2871004000000,2871005000000,2871006000000,2871007000000,2871008000000,2871009000000,2871010000000,2871011000000,2871012000000,2871013000000,2871014000000,2871015000000,2871016000000,2871017000000,2871018000000,2871019000000,2871020000000,2871021000000,2871022000000,2871023000000,2871024000000,2880001000000,2880002000000,2880004000000,2880005000000,2880006000000,2880007000000,2880008000000,2880009000000,2880010000000,2880011000000,2880012000000,2880013000000,2880014000000,2880015000000,2880016000000,2880017000000,2880019000000,2880020000000,2880021000000,2880022000000,2880023000000,2880024000000,2880025000000,2880026000000,2880027000000,2880028000000,2880029000000,2880030000000,2880031000000,2880032000000,2880033000000,2880034000000,2880035000000,2880036000000,2880037000000,2880038000000,2880039000000,2880041000000,2880042000000,2880043000000,2880044000000,2880045000000,2880046000000,2880047000000,2880048000000,2880049000000,2880050000000,2880051000000,2880052000000,2880053000000,2880054000000,2880055000000,2880056000000,2880057000000,2880058000000,2880059000000,2880060000000,2880063000000,2880065000000,2880066000000,2880068000000,2880069000000,2880101000000,2880102000000,2880103000000,2880104000000,2880105000000,2880106000000,2880107000000,2880108000000,2880109000000,2880110000000,2880111000000,2880112000000,2880113000000,2880114000000,2880115000000,2880116000000,2880117000000,2880119000000,2880120000000,2880121000000,2880122000000,2880123000000,2880124000000,2880125000000,2880126000000,2880127000000,2880128000000,2880129000000,2880130000000,2880131000000,2880132000000,2880133000000,2880134000000,2880135000000,2880136000000,2880137000000,2880138000000,2880139000000,2880141000000,2880142000000,2880143000000,2880144000000,2880145000000,2880146000000,2880147000000,2880148000000,2880149000000,2880150000000,2880151000000,2880152000000,2880153000000,2880154000000,2880155000000,2880156000000,2880159000000,2880160000000,2880163000000,2880165000000,2880166000000,2880168000000,2880169000000,2881000000000,2881001000000,2881002000000,2881003000000,2881004000000,2881005000000,2881006000000,2881007000000,2881008000000,2881009000000,2881010000000,2881011000000,2881012000000,2881013000000,2881014000000,2881015000000,2881016000000,2881017000000,2881018000000,2881019000000,2881020000000,2881021000000,2881022000000,2881023000000,2881024000000,2890005000000,2890006000000,2890007000000,2890011000000,2890017000000,2890019000000,2890020000000,2890021000000,2890023000000,2890029000000,2890037000000,2890052000000,2890053000000,2890054000000,2890059000000,2890068000000,2890103000000,2890105000000,2890106000000,2890108000000,2890111000000,2890119000000,2890123000000,2890127000000,2890133000000,2890134000000,2890136000000,2890142000000,2890143000000,2890144000000,2890145000000,2890147000000,2890150000000,2890155000000,2890159000000,2890163000000,2890168000000,2891001000000,2891002000000,2891005000000,2891008000000,2891012000000,2891021000000,2891024000000|100202200001
10020222|VEAU FE PDV||0206026000000,2810200000000,2810201000000,2810202000000,2810203000000,2810204000000,2810205000000,2810206000000,2810207000000,2810208000000,2810209000000,2810211000000,2810212000000,2810217000000,2810218000000,2810219000000,2810220000000,2810221000000,2810222000000,2810223000000,2810224000000,2810225000000,2810226000000,2810229000000,2810230000000,2811101000000,2811102000000,2811103000000,2811104000000,2811105000000,2811106000000,2811107000000,2811108000000,2811109000000,2811201000000,2811202000000,2811203000000,2811204000000,2811205000000,2811206000000,2811207000000,2811208000000,2811209000000,2811210000000,2820200000000,2820201000000,2820202000000,2820203000000,2820204000000,2820205000000,2820206000000,2820207000000,2820208000000,2820209000000,2820211000000,2820212000000,2820217000000,2820218000000,2820219000000,2820220000000,2820221000000,2820222000000,2820223000000,2820224000000,2820225000000,2820226000000,2820229000000,2820230000000,2821101000000,2821102000000,2821103000000,2821104000000,2821105000000,2821106000000,2821107000000,2821108000000,2821109000000,2821201000000,2821202000000,2821203000000,2821204000000,2821205000000,2821206000000,2821207000000,2821208000000,2821209000000,2821210000000,2830208000000,2830218000000,2830220000000,2830224000000,2830230000000,2831101000000,2831102000000,2831106000000,2831107000000,2831109000000,2831201000000,2831202000000,2831203000000,2831204000000,2831206000000,2831207000000,2831208000000,2831209000000,2840200000000,2840201000000,2840202000000,2840203000000,2840204000000,2840205000000,2840206000000,2840207000000,2840208000000,2840209000000,2840211000000,2840212000000,2840217000000,2840218000000,2840219000000,2840220000000,2840221000000,2840222000000,2840223000000,2840224000000,2840225000000,2840226000000,2840229000000,2840230000000,2841101000000,2841103000000,2841104000000,2841105000000,2841106000000,2841107000000,2841108000000,2841109000000,2841201000000,2841202000000,2841203000000,2841204000000,2841205000000,2841206000000,2841207000000,2841208000000,2841209000000,2841210000000,2860200000000,2860201000000,2860202000000,2860203000000,2860204000000,2860205000000,2860206000000,2860207000000,2860208000000,2860209000000,2860211000000,2860212000000,2860217000000,2860218000000,2860219000000,2860220000000,2860221000000,2860222000000,2860223000000,2860224000000,2860225000000,2860226000000,2860229000000,2860230000000,2861101000000,2861102000000,2861103000000,2861104000000,2861105000000,2861106000000,2861107000000,2861108000000,2861109000000,2861201000000,2861202000000,2861203000000,2861204000000,2861205000000,2861206000000,2861207000000,2861208000000,2861209000000,2861210000000,2870200000000,2870201000000,2870202000000,2870203000000,2870204000000,2870205000000,2870206000000,2870207000000,2870208000000,2870209000000,2870211000000,2870212000000,2870217000000,2870218000000,2870219000000,2870220000000,2870221000000,2870222000000,2870223000000,2870224000000,2870225000000,2870226000000,2870229000000,2870230000000,2871101000000,2871102000000,2871103000000,2871104000000,2871105000000,2871106000000,2871107000000,2871108000000,2871109000000,2871201000000,2871202000000,2871203000000,2871204000000,2871205000000,2871206000000,2871207000000,2871208000000,2871209000000,2871210000000,2880200000000,2880201000000,2880202000000,2880203000000,2880204000000,2880205000000,2880206000000,2880207000000,2880208000000,2880209000000,2880211000000,2880212000000,2880217000000,2880218000000,2880219000000,2880220000000,2880221000000,2880222000000,2880223000000,2880224000000,2880225000000,2880226000000,2880229000000,2880230000000,2881101000000,2881102000000,2881103000000,2881104000000,2881105000000,2881106000000,2881107000000,2881108000000,2881109000000,2881201000000,2881202000000,2881203000000,2881204000000,2881205000000,2881206000000,2881207000000,2881208000000,2881209000000,2881210000000,2890200000000,2890202000000,2890207000000,2890208000000,2890211000000,2890217000000,2890218000000,2890219000000,2890220000000,2890223000000,2890225000000,2890229000000,2891101000000,2891102000000,2891103000000,2891104000000,2891105000000,2891106000000,2891107000000,2891108000000,2891109000000,2891201000000,2891202000000,2891203000000,2891204000000,2891206000000,2891207000000,2891209000000,2891210000000|100202220001
