EAN|NAME|DESCRIPTION|BRAND|REFERENCE_WEIGHT|REFERENCE_VOLUME|PRODUCT_TYPE|UNIT_NAME|ACTIVE|PLU|ICON|FORBIDDEN_TO_SALE|VARIABLE_WEIGHT
0000000003035|NECTARINE BLANCHE VRAC PR|NECTARINE BLANCHE||1.000||WEIGHT|kg|true|3035||false|true
0000000003037|ANANAS VICTORIA PIECE|ANANAS VICTORIA PIECE||||UNIT||true|||false|false
0000000003040|PITAYA ROSE VRAC|PITAYA ROSE VRAC||1.000||WEIGHT|kg|true|3040||false|true
0000000003041|RAMBOUTAN|RAMBOUTAN VRAC||1.000||WEIGHT|kg|true|3041||false|true
0000000003042|MANGOUSTAN VRAC|MANGOUSTAN VRAC||1.000||WEIGHT|kg|true|3042||false|true
0000000003043|RAISIN BLANC IMPORT VRAC|RAISIN BLANC IMPORT VRAC||1.000||WEIGHT|kg|true|3043||false|true
0000000003044|NOISETTE|NOISETTE VRAC||1.000||WEIGHT|kg|true|3044||false|true
0000000003045|DATTE FRAICHE VRAC|DATTE FRAICHE VRAC||1.000||WEIGHT|kg|true|3045||false|true
0000000003048|HARICOT COCO PLAT VRAC|HARICOT COCO PLAT VRAC||1.000||WEIGHT|kg|true|3048||false|true
0000000003049|HARICOT VERT VRAC|HARICOT VERT VRAC||1.000||WEIGHT|kg|true|3049||false|true
0000000003050|CHOU BLANC PIECE|CHOU BLANC PIECE||||UNIT||true|||false|false
0000000003053|PANAIS VRAC|PANAIS VRAC||1.000||WEIGHT|kg|true|3053||false|true
0000000003054|POIVRON CORNE DE BOEUF VR|POIVRON DOUX CORNE DE BOEUF VR||1.000||WEIGHT|kg|true|3054||false|true
0000000003062|LAURIER BOTTE|LAURIER BOTTE||||UNIT||true|||false|false
0000000003080|CAROTTE MIXTE|CAROTTE MIXTE||1.000||WEIGHT|kg|true|3080||false|true
0000000003082|BROCOLI VRAC|BROCOLI 500G||1.000||WEIGHT|kg|true|3082||false|true
0000000003089|AUBERGINE VIOLETTE VRAC|AUBERGINE VIOLETTE VRAC||1.000||WEIGHT|kg|true|3089||false|true
0000000003092|POMELO BLANC SWEETIE PIEC|POMELO BLANC SWEETIE PIECE||||UNIT||true|||false|false
0000000003095|CHOU VERT FRISE PIECE|CHOU VERT FRISE PIECE||||UNIT||true|||false|false
0000000003102|CHAMPIGNON PIED DE MOUTON|CHAMPIGNON PIED DE MOUTON VRAC||1.000||WEIGHT|kg|true|3102||false|true
0000000003103|CHAMPIGNON TROMPETTE VRAC|CHAMPIGNON TROMPETTE VRAC||1.000||WEIGHT|kg|true|3103||false|true
0000000003107|ORANGE FEUILLE VRAC|ORANGE FEUILLE VRAC||1.000||WEIGHT|kg|true|3107||false|true
0000000003110|ORANG.FILME N/TRAITE|ORANG.FILME N/TRAITE||1.000||WEIGHT|kg|true|3110||false|true
0000000003113|PECHE PLATE VRAC STANDARD|PECHE PLATE VRAC||1.000||WEIGHT|kg|true|3113||false|true
0000000003119|POIVRON VERT VRAC STANDAR|POIVRON DOUX VERT VRAC||1.000||WEIGHT|kg|true|3119||false|true
0000000003121|POIVRON ORANGE VRAC|POIVRON DOUX ORANGE VRAC||1.000||WEIGHT|kg|true|3121||false|true
0000000003132|CITROUILLE JACK O'LANTERN|CITROUILLE JACK O'LANTERN PIEC||||UNIT||true|||false|false
0000000003133|COURGE SPAGHETTI PIECE|COURGE SPAGHETTI PIECE||||UNIT||true|||false|false
0000000003134|COLOQUINTE PIECE|COLOQUINTE PIECE||||UNIT||true|||false|false
0000000003145|TOMATE  ALLONGEE VRAC|TOMATE ALLONGEE VRAC||1.000||WEIGHT|kg|true|3145||false|true
0000000003148|TOMATE JAUNE GRAPPE|TOMATE RONDE EN GRAPPE JAUNE V||1.000||WEIGHT|kg|true|3148||false|true
0000000003150|TOMATE ALLONGEE TORINO|TOMATE ALLONGEE TORINO VRAC||1.000||WEIGHT|kg|true|3150||false|true
0000000003151|TOMATE RONDE VRAC|TOMATE RONDE VRAC||||UNIT|kg|true|||true|false
0000000003157|MAIN DE BOUDDHA PIECE|MAIN DE BOUDDHA PIECE||1.000||WEIGHT||true|3157||false|true
0000000003169|LAITUE BATAVIA BLONDE PIE|LAITUE BATAVIA BLONDE PIECE||||UNIT||true|||false|false
0000000003171|CLEMENTINE IRRESISTIBLE V|CLEMENTINE IRRESISTIBLE VRAC||||UNIT|kg|true|||true|false
0000000003172|MANDARINE IRRESISTIBLE VR|MANDARINE IRRESISTIBLE VRAC||1.000||WEIGHT|kg|true|3172||false|true
0000000003177|BUTTERNUT TRANCHE ITM|BUTTERNUT TRANCHE ITM||1.000||WEIGHT|kg|true|3177||false|true
0000000003179|COURGE TRANCHE ITM|COURGE TRANCHEE ITM||1.000||WEIGHT|kg|true|3179||false|true
0000000003181|POMME JULIET VRAC|POMME JULIET VRAC||1.000||WEIGHT|kg|true|3181||false|true
0000000003201|CIBOULETTE BOTTE|CIBOULETTE BOTTE||||UNIT||true|||false|false
0000000003204|CORIANDRE BOTTE|CORIANDRE BOTTE||||UNIT||true|||false|false
0000000003205|MENTHE BOTTE|MENTHE BOTTE||||UNIT||true|||false|false
0000000003232|HERBES PANACHEES BOTTE 1|HERBES PANACHEES BOTTE 1||||UNIT||true|||false|false
0000000003280|KIWI ROUGE PIECE|KIWI ROUGE PIECE||||UNIT||true|||false|false
0000000003281|PASTEQUE MMP NOIRE SANS P|PASTEQUE NOIRE SANS PEPIN MMP||||UNIT||true|||false|false
0000000003283|POMME HONEY CRUNCH VRAC|POMME HONEY CRUNCH VRAC||1.000||WEIGHT|kg|true|3283||false|true
0000000003293|POMME JAZZ  VRAC|POMME JAZZ  VRAC||1.000||WEIGHT|kg|true|3293||false|true
0000000003294|POMME JAZZ VRAC|POMME JAZZ VRAC||1.000||WEIGHT|kg|true|3294||false|true
0000000003301|POMME CRIPPS PINK VRAC|POMME CRIPPS PINK VRAC||||UNIT|kg|true|||true|false
0000000003306|MELON PIECE|MELON PIECE||||UNIT||true|||false|false
0000000003309|MELON PROMO CASARAMON|MELON PIECE||||UNIT||true|||false|false
0000000003311|FRUIT DE LA PASSION PIECE|FRUIT DE LA PASSION PIECE||||UNIT||true|||false|false
0000000003317|POIRE PACKAM S TRIUMPH VR|POIRE PACKHAM||||UNIT|kg|true|||true|false
0000000003319|PITAYA JAUNE VRAC|PITAYA JAUNE VRAC||1.000||WEIGHT|kg|true|3319||false|true
0000000003320|CHOU ROMANESCO PIECE|CHOU ROMANESCO PIECE||||UNIT||true|||false|false
0000000003329|LAITUE FEUILLE CHENE BDE|LAITUE FEUILLE CHENE BDE PIECE||||UNIT||true|||false|false
0000000003330|LAITUE FEUILLE CHENE RGE|LAITUE FEUILLE CHENE RGE PIECE||||UNIT||true|||false|false
0000000003331|OIGNON BLANC BOTTE|OIGNON BLANC BOTTE||||UNIT||true|||false|false
0000000003335|TOMATE CERISE RONDE EN GR|TOMATE CERISE RONDE EN GRAPPE||1.000||WEIGHT|kg|true|3335||false|true
0000000003336|TOMATE COCKTAIL GRAPPE VR|TOMATE COCKTAIL EN GRAPPE VRAC||1.000||WEIGHT|kg|true|3336||false|true
0000000003337|SALADE REINE DES GLACES P|SALADE REINE DES GLACES PIECE||||UNIT||true|||false|false
0000000003340|POMME GRANNY VRAC|POMME GRANNY VRAC||1.000||WEIGHT|kg|true|3340||false|true
0000000003343|POMME COEUR DE REINE VRAC|POMME COEUR DE REINE VRAC||1.000||WEIGHT|kg|true|3343||false|true
0000000003351|POMME REINE DES REINETTES|POMME REINE DES REINETTES VRAC||1.000||WEIGHT|kg|true|3351||false|true
0000000003357|CERISE VRAC STANDARD|CERISE VRAC||1.000||WEIGHT|kg|true|3357||false|true
0000000003359|RAISIN BLANC CHASSELAS VR|RAISIN BLANC CHASSELAS VRAC||||UNIT|kg|true|||true|false
0000000003365|MANGUE AFFINEE PIECE|MANGUE AFFINEE PIECE||||UNIT||true|||false|false
0000000003370|ORANGE MALTAISE VRAC|ORANGE MALTAISE VRAC||1.000||WEIGHT|kg|true|3370||false|true
0000000003378|POIRE BERENICE|POIRE BERENICE VRAC||1.000||WEIGHT|kg|true|3378||false|true
0000000003383|MANDARINE  VRAC|MANDARINE VRAC||1.000||WEIGHT|kg|true|3383||false|true
0000000003384|CLEMENTINE NADORCOTTE|CLEMENTINE VRAC PREMIUM||1.000||WEIGHT|kg|true|3384||false|true
0000000003385|CLEMENTINE FEUILLE CORSE|CLEMENTINE CORSE FEUILLE VRAC||||UNIT|kg|true|||true|false
0000000003386|MANDARINE  FEUILLE VRAC|MANDARINE FEUILLE||1.000||WEIGHT|kg|true|3386||false|true
0000000003388|LITrueSON A DOMICILE|LITrueSON A DOMICILE||||UNIT||true|||false|false
0000000003390|CLEMENULES VRAC|CLEMENULES VRAC||1.000||WEIGHT|kg|true|3390||false|true
0000000003392|ASPERGE BLANCHE/VIOLETTE|ASPERGE BLANCHE/VIOLETTE VRAC||1.000||WEIGHT|kg|true|3392||false|true
0000000003397|CHOU CHOUDOU PIECE|CHOU CHOUDOU PIECE||||UNIT||true|||false|false
0000000003399|AIL VERT VRAC|AIL VERT VRAC||1.000||WEIGHT|kg|true|3399||false|true
0000000003401|AIL BLANC VRAC|AIL BLANC VRAC||1.000||WEIGHT|kg|true|3401||false|true
0000000003418|COURGETTE RONDE VRAC|COURGETTE RONDE VRAC||1.000||WEIGHT|kg|true|3418||false|true
0000000003435|POMME NINA VRAC|POMME NINA VRAC||1.000||WEIGHT|kg|true|3435||false|true
0000000003495|POIRE QTEE VRAC|POIRE QTEE VRAC||1.000||WEIGHT|kg|true|3495||false|true
0000000003535|CONCOMBRE NOA|CONCOMBRE NOA||1.000||WEIGHT|kg|true|3535||false|true
0000000003599|ST BRIS ANTUNES 2017|ST BRIS DOMAINE ANTUNES 2017||||UNIT|L|true|||false|false
0000000003654|EL CHIMICHURRI PICANTE|EL CHIMICHURRI PICANTE||||UNIT|kg|true|||false|false
0000000003655|EL CHIMIICHURRI|EL CHIMIICHURRI||||UNIT|kg|true|||false|false
0000000003838|CLEMENTINE NOURS|clementine nours||||UNIT|kg|true|||false|false
0000000003849|THYM/LAURIER BOTTE|THYM/LAURIER BOTTE||||UNIT||true|||false|false
0000000003933|THYM BOTTE|THYM BOTTE||||UNIT||true|||false|false
0000000004000|OLIVES VRAC|OLIVES BARQUETTE||1.000||WEIGHT||true|4000||false|true
0000000004002|PHYSALLIS BARQUETTE 100G|PHYSALLIS BARQUETTE 100G||||UNIT|kg|true|||false|false
0000000004011|BANANE VRAC|BANANE VRAC||1.000||WEIGHT|kg|true|4011||false|true
0000000004012|ORANGE DESSERT  VRAC|ORANGE DESSERT VRAC||1.000||WEIGHT|kg|true|4012||false|true
0000000004017|POMME BEEN'S VRAC|POMME GRANNY PETIT CALIBRE VRA||1.000||WEIGHT|kg|true|4017||false|true
0000000004018|POMME GRANNY VRAC|POMME GRANNY VRAC||1.000||WEIGHT|kg|true|4018||false|true
0000000004021|POMME BEEN'S  VRAC|POMME GOLDEN PETIT CALIBRE VRA||||UNIT|kg|true|||true|false
0000000004022|RAISIN BLANC DANLAS VRAC|RAISIN BLANC DANLAS VRAC||1.000||WEIGHT|kg|true|4022||false|true
0000000004023|RAISIN NOIR VRAC|RAISIN NOIR VRAC||1.000||WEIGHT|kg|true|4023||false|true
0000000004024|POIRE WILLIAM ROUGE VRAC|POIRE WILLIAM ROUGE VRAC||1.000||WEIGHT|kg|true|4024||false|true
0000000004029|ANANAS PIECE|ANANAS PIECE||||UNIT||true|||false|false
0000000004030|KIWI VERT PIECE|KIWI VERT PIECE||||UNIT||true|||false|false
0000000004031|PASTEQUE NOIRE SANS PEPIN|PASTEQUE NOIRE SANS PEPINS PIE||||UNIT||true|||false|false
0000000004032|PASTEQUE TIGREE PIECE|PASTEQUE TIGREE PIECE||||UNIT||true|||false|false
0000000004033|CITRON JAUNE FEUILLE VRAC|CITRON JAUNE FEUILLE VRAC||1.000||WEIGHT|kg|true|4033||false|true
0000000004035|NECTARINE JAUNE VRAC STAN|NECTARINE JAUNE VRAC||1.000||WEIGHT|kg|true|4035||false|true
0000000004036|NECTARINE JAUNE VRAC|NECTARINE JAUNE VRAC||1.000||WEIGHT|kg|true|4036||false|true
0000000004037|PECHE JAUNE VRAC STANDARD|PECHE JAUNE VRAC||1.000||WEIGHT|kg|true|4037||false|true
0000000004038|PECHE JAUNE VRAC|PECHE JAUNE VRAC||1.000||WEIGHT|kg|true|4038||false|true
0000000004040|CHAMPIGNON PIED DE MOUTON|CHAMPIGNON PIED DE MOUTON||1.000||WEIGHT|kg|true|4040||false|true
0000000004041|PRUNE ROUGE VRAC|PRUNE ROUGE VRAC||1.000||WEIGHT|kg|true|4041||false|true
0000000004042|PRUNE PRESIDENT VRAC|PRUNE PRESIDENT VRAC||1.000||WEIGHT|kg|true|4042||false|true
0000000004048|LIME VRAC|LIME VRAC||1.000||WEIGHT|kg|true|4048||false|true
0000000004051|LOT 2 MANGUE|LOT 2 MANGUE||||UNIT||true|||false|false
0000000004052|PAPAYE PIECE|PAPAYE PIECE||||UNIT||true|||false|false
0000000004055|MANDARINE VRAC|MANDARINE VRAC||1.000||WEIGHT|kg|true|4055||false|true
0000000004059|KIWI JAUNE PIECE|KIWI JAUNE PIECE||||UNIT||true|||false|false
0000000004060|CHOUX DE BRUXELLE|CHOUX DE BRUXELES||1.000||WEIGHT|kg|true|4060||false|true
0000000004062|CONCOMBRE NOA VRAC|CONCOMBRE NOA VRAC||||UNIT|kg|true|||true|false
0000000004063|TOMATE CERISE PANACHEE VR|TOMATE CERISE PANACHE VRAC||1.000||WEIGHT|kg|true|4063||false|true
0000000004064|TOMATE KUMATO VRAC|TOMATE RONDE NOIRE VRAC||1.000||WEIGHT|kg|true|4064||false|true
0000000004065|POIVRON ROUGE VRAC STANDA|POIVRON DOUX ROUGE VRAC||1.000||WEIGHT|kg|true|4065||false|true
0000000004067|COURGETTE VRAC STANDARD|COURGETTE VRAC||1.000||WEIGHT|kg|true|4067||false|true
0000000004072|POMME DE TERRE ROUGE VRAC|POMME DE TERRE ROUGE VRAC||1.000||WEIGHT|kg|true|4072||false|true
0000000004076|LAITUE POMMEE BLONDE PIEC|LAITUE POMMEE BLONDE PIECE||||UNIT||true|||false|false
0000000004080|ASPERGE VERTE VRAC|ASPERGE VERTE VRAC||1.000||WEIGHT|kg|true|4080||false|true
0000000004082|OIGNON ROUGE VRAC|OIGNON ROUGE VRAC||1.000||WEIGHT|kg|true|4082||false|true
0000000004083|POMME DE TERRE CONSO VRAC|PDT BLONDE CONSO VRAC||1.000||WEIGHT|kg|true|4083||false|true
0000000004084|ARTICHAUT BLANC PIECE|ARTICHAUT BLANC PIECE||||UNIT||true|||false|false
0000000004085|CHAMPIGNON BLANC GEANT VR|CHAMPIGNON PARIS BLANC GEANT V||1.000||WEIGHT|kg|true|4085||false|true
0000000004104|POMME MMP ROUGE VRAC|POMME ROUGE VRAC||||UNIT|kg|true|||true|false
0000000004122|HUITRE VRAC N 2|HUITRE VRAC N 2||1.000||WEIGHT|kg|true|4122||false|true
0000000004128|POMME PINK LADY VRAC|POMME PINK LADY VRAC||1.000||WEIGHT|kg|true|4128||false|true
0000000004129|POMME FUJI VRAC|POMME FUJI VRAC||||UNIT|kg|true|||true|false
0000000004130|PINK LADY|PINK LADY||1.000||WEIGHT|kg|true|4130||false|true
0000000004133|POMME BEEN'S|POMME GALA PETIT CALIBRE VRAC||1.000||WEIGHT|kg|true|4133||false|true
0000000004135|POMME GALA VRAC|POMME GALA VRAC||1.000||WEIGHT|kg|true|4135||false|true
0000000004136|POMME MMP GOLDEN VRAC|POMME GOLDEN VRAC||1.000||WEIGHT|kg|true|4136||false|true
0000000004142|POMME IDARED GROS|POMME IDARED GROS||||UNIT|kg|true|||false|false
0000000004145|POMME JONAGOLD VRAC|POMME JONAGOLD VRAC||||UNIT|kg|true|||true|false
0000000004174|POMMES ROYAL-GALA|POMMES ROYAL-GALA||||UNIT|kg|true|||true|false
0000000004188|NECTARINE BLANCHE VRAC ST|NECTARINE BLANCHE VRAC||1.000||WEIGHT|kg|true|4188||false|true
0000000004218|ABRICOT VRAC|ABRICOT VRAC||1.000||WEIGHT|kg|true|4218||false|true
0000000004222|AVOCAT AFFINE PIECE|AVOCAT AFFINE PIECE||||UNIT||true|||false|false
0000000004223|AVOCAT TROPICAL PIECE|AVOCAT TROPICAL PIECE||||UNIT||true|||false|false
0000000004226|AVOCAT COCKTAIL VRAC|AVOCAT COCKTAIL VRAC||1.000||WEIGHT|kg|true|4226||false|true
0000000004230|BANANE PLANTAIN VRAC|BANANE PLANTAIN VRAC||1.000||WEIGHT|kg|true|4230||false|true
0000000004231|BANANE VERTE VRAC|BANANE VERTE VRAC||1.000||WEIGHT|kg|true|4231||false|true
0000000004255|FIGUE BARBARIE VRAC|FIGUE BARBARIE VRAC||1.000||WEIGHT|kg|true|4255||false|true
0000000004256|CARAMBOLE PIECE|CARAMBOLE PIECE||||UNIT||true|||false|false
0000000004260|NOIX DE COCO PIECE|NOIX DE COCO PIECE||||UNIT||true|||false|false
0000000004261|NOIX DE COCO FRAICHE PIEC|NOIX DE COCO FRAICHE PIECE||||UNIT||true|||false|false
0000000004264|DATTE MEDJOOL VRAC|DATTE MEDJOOL VRAC||1.000||WEIGHT|kg|true|4264||false|true
0000000004266|FIGUE NOIRE/Verte  VRAC|FIGUE NOIRE VRAC||1.000||WEIGHT|kg|true|4266||false|true
0000000004268|FIGUE VERTE VRAC|FIGUE VERTE VRAC||1.000||WEIGHT|kg|true|4268||false|true
0000000004274|RAISIN BLANC ITALIA VRAC|RAISIN BLANC ITALIA VRAC||1.000||WEIGHT|kg|true|4274||false|true
0000000004280|LOT 2  MELON|LOT DE 2 MELON||||UNIT||true|||false|false
0000000004282|POMELO ROUGE PIECE|POMELO ROUGE PIECE||||UNIT||true|||false|false
0000000004294|POMELO EXOTIQUE/CHINOIS P|POMELO EXOTIQUE/CHINOIS PIECE||||UNIT||true|||false|false
0000000004299|GOYAVE VRAC|GOYAVE VRAC||1.000||WEIGHT|kg|true|4299||false|true
0000000004302|KIWANO /MELANO PIECE|KIWANO /MELANO PIECE||||UNIT||true|||false|false
0000000004303|KUMQUAT VRAC|KUMQUAT VRAC||1.000||WEIGHT|kg|true|4303||false|true
0000000004306|COMBAVA VRAC|COMBAVA VRAC||1.000||WEIGHT|kg|true|4306||false|true
0000000004308|NEFLE VRAC|NEFLE VRAC||1.000||WEIGHT|kg|true|4308||false|true
0000000004309|LITCHI VRAC|LITCHI VRAC||1.000||WEIGHT|kg|true|4309||false|true
0000000004310|LITCHI BRANCHE VRAC|LITCHI BRANCHE VRAC||1.000||WEIGHT|kg|true|4310||false|true
0000000004312|MANGUE AVION PIECE|MANGUE AVION PIECE||||UNIT||true|||false|false
0000000004317|MELON JAUNE PIECE|MELON JAUNE PIECE||||UNIT||true|||false|false
0000000004326|MELON GALIA PIECE|MELON GALIA PIECE||||UNIT||true|||false|false
0000000004327|PASTEQUE MINI PIECE|PASTEQUE MINI PIECE||||UNIT||true|||false|false
0000000004339|MELON VERT PIECE|MELON VERT PIECE||||UNIT||true|||false|false
0000000004343|HUITRE VRAC N 2|HUITRE VRAC N 2||1.000||WEIGHT|kg|true|4343||false|true
0000000004377|NECTARINE PLATE VRAC|NECTARINE PLATE VRAC||1.000||WEIGHT|kg|true|4377||false|true
